t	x	y	th	v*100	w	dTh	dSi
11.76	0.89	0.27	0.06	9.39	0.00	0.00	0.00
11.81	0.89	0.27	0.06	9.40	0.00	0.00	0.00
11.86	0.90	0.27	0.06	9.39	0.00	0.00	0.00
11.91	0.90	0.27	0.05	9.86	-0.07	-0.00	0.00
11.96	0.91	0.27	0.05	9.39	0.00	0.00	0.00
12.01	0.91	0.27	0.05	10.33	0.00	0.00	0.01
12.06	0.92	0.27	0.05	10.33	0.00	0.00	0.01
12.11	0.92	0.27	0.05	10.33	0.00	0.00	0.01
12.16	0.93	0.27	0.05	10.33	0.00	0.00	0.01
12.21	0.93	0.27	0.06	8.93	0.07	0.00	0.00
12.26	0.94	0.27	0.05	9.87	-0.07	-0.00	0.00
12.31	0.94	0.27	0.06	9.87	0.07	0.00	0.00
12.36	0.95	0.27	0.06	10.33	0.00	0.00	0.01
12.41	0.95	0.27	0.05	9.87	-0.07	-0.00	0.00
12.46	0.96	0.27	0.05	9.39	0.00	0.00	0.00
12.51	0.96	0.27	0.05	9.85	-0.07	-0.00	0.00
12.56	0.97	0.27	0.05	10.77	0.07	0.00	0.01
12.61	0.97	0.27	0.05	9.39	0.00	0.00	0.00
12.66	0.98	0.27	0.06	9.86	0.07	0.00	0.00
12.71	0.98	0.27	0.05	9.87	-0.07	-0.00	0.00
12.76	0.99	0.27	0.06	9.86	0.07	0.00	0.00
12.81	0.99	0.27	0.06	9.39	0.00	0.00	0.00
12.86	1.00	0.27	0.06	9.39	0.13	0.01	0.00
12.91	1.00	0.27	0.08	10.33	0.27	0.01	0.01
12.96	1.01	0.27	0.09	9.87	0.34	0.02	0.00
13.01	1.01	0.27	0.11	10.34	0.40	0.02	0.01
13.06	1.02	0.28	0.13	9.86	0.34	0.02	0.00
13.11	1.02	0.28	0.15	10.34	0.40	0.02	0.01
13.16	1.03	0.28	0.17	9.40	0.40	0.02	0.00
13.21	1.03	0.28	0.19	10.33	0.40	0.02	0.01
13.26	1.04	0.28	0.21	9.87	0.34	0.02	0.00
13.31	1.04	0.28	0.23	8.93	0.34	0.02	0.00
13.36	1.04	0.28	0.25	9.40	0.40	0.02	0.00
13.41	1.05	0.28	0.27	9.40	0.40	0.02	0.00
13.46	1.05	0.28	0.28	9.87	0.34	0.02	0.00
13.51	1.06	0.28	0.30	9.39	0.40	0.02	0.00
13.56	1.06	0.29	0.32	9.87	0.34	0.02	0.00
13.61	1.07	0.29	0.34	9.87	0.47	0.02	0.00
13.66	1.07	0.29	0.36	9.40	0.40	0.02	0.00
13.71	1.08	0.29	0.38	10.34	0.40	0.02	0.01
13.76	1.08	0.29	0.40	9.40	0.40	0.02	0.00
13.81	1.09	0.30	0.43	9.87	0.47	0.02	0.00
13.86	1.09	0.30	0.44	9.87	0.34	0.02	0.00
13.91	1.10	0.30	0.46	10.34	0.40	0.02	0.01
13.96	1.10	0.30	0.49	9.87	0.47	0.02	0.00
14.01	1.10	0.30	0.50	9.87	0.34	0.02	0.00
14.06	1.11	0.31	0.52	9.87	0.34	0.02	0.00
14.11	1.11	0.31	0.55	9.88	0.47	0.02	0.00
14.16	1.12	0.31	0.57	10.34	0.40	0.02	0.01
14.21	1.12	0.31	0.58	9.87	0.34	0.02	0.00
14.26	1.13	0.32	0.60	10.34	0.40	0.02	0.01
14.31	1.13	0.32	0.62	9.40	0.40	0.02	0.00
14.36	1.13	0.32	0.65	9.87	0.47	0.02	0.00
14.41	1.14	0.33	0.67	10.33	0.40	0.02	0.01
14.46	1.14	0.33	0.69	9.39	0.40	0.02	0.00
14.51	1.14	0.33	0.71	9.40	0.40	0.02	0.00
14.56	1.15	0.34	0.72	8.93	0.34	0.02	0.00
14.61	1.15	0.34	0.74	10.35	0.40	0.02	0.01
14.66	1.16	0.34	0.76	9.41	0.40	0.02	0.00
14.71	1.16	0.35	0.78	9.88	0.34	0.02	0.00
14.76	1.16	0.35	0.80	9.40	0.40	0.02	0.00
14.82	1.17	0.35	0.82	9.88	0.34	0.02	0.00
14.87	1.17	0.36	0.83	8.94	0.34	0.02	0.00
t	x	y	th	v*100	w	dTh	dSi
